Country,GDP,GDP YoY,GDP QoQ,Interest rate,Inflation rate,Jobless rate,Gov. Budget,Debt/GDP,Current Account,Currency,Population
United States,18037,0.017,0.035,0.0075,0.017,0.047,-0.032,1.0417,-2.7,119.89,321.57
Euro Area,11602,0.017,0.003,0,0.011,0.098,-0.021,0.907,3.7,1.07,338.47
China,11008,0.067,0.018,0.0435,0.021,0.0404,-0.023,0.439,2.7,6.81,1374.62
Japan,4123,0.011,0.003,-0.001,0.005,0.031,-0.06,2.292,2.9,113.15,126.82
Germany,3363,0.015,0.002,0,0.017,0.041,0.006,0.712,8.8,1.07,82.18
United Kingdom,2858,0.022,0.006,0.0025,0.016,0.048,-0.044,0.892,-5.2,1.23,64.88
France,2419,0.01,0.002,0,0.006,0.1,-0.036,0.961,-1.4,1.07,66.63
India,2095,0.073,0.018,0.0625,0.0341,0.049,-0.035,0.69,-1.25,67.95,1254.02
Italy,1822,0.01,0.003,0,0.005,0.119,-0.026,1.327,2.2,1.07,60.8
Brazil,1775,-0.029,-0.008,0.13,0.0629,0.119,-0.103,0.6623,-3.32,3.21,204.45
Canada,1551,0.013,0.009,0.005,0.012,0.069,0.001,0.915,-3.3,1.31,35.99
South Korea,1378,0.026,0.006,0.0125,0.013,0.034,-0.03,0.379,7.7,1165.77,50.6
Australia,1340,0.018,-0.005,0.015,0.013,0.057,-0.024,0.368,-4.6,0.76,23.94
Russia,1331,-0.004,-0.0057,0.1,0.054,0.054,-0.026,0.177,5.1,59.07,146.3
Spain,1199,0.032,0.007,0,0.016,0.1891,-0.051,0.992,1.5,1.07,46.45
Mexico,1144,0.02,0.01,0.0575,0.0336,0.035,-0.035,0.432,-2.8,21.53,121.01
Indonesia,862,0.0502,0.032,0.0475,0.0302,0.0561,-0.0253,0.27,-2.06,13304,258.7
Netherlands,750,0.024,0.008,0,0.01,0.056,-0.018,0.651,9.1,1.07,16.9
Turkey,718,-0.018,-0.027,0.08,0.0853,0.118,-0.012,0.329,-4.5,3.78,78.74
Switzerland,671,0.013,0,-0.0075,0,0.035,0,0.344,11,1,8.24
Saudi Arabia,646,0.009,0.009,0.02,0.023,0.057,-0.15,0.059,-8.2,3.75,31.52
Argentina,548,-0.038,-0.002,0.2475,0.405,0.085,-0.054,0.484,-0.9,15.88,43.59
Taiwan,523,0.0203,0.0096,0.0138,0.017,0.0384,-0.014,0.317,14.5,31.55,23.49
Venezuela,510,-0.071,0.068,0.2248,1.809,0.073,-0.115,0.498,1.4,9.99,30.62
Sweden,496,0.028,0.005,-0.005,0.017,0.062,0,0.434,5.4,8.9,9.75
Nigeria,481,-0.0224,0.0899,0.14,0.1855,0.139,-0.016,0.115,-3.8,315,182.2
Poland,477,0.025,0.002,0.015,0.008,0.082,-0.026,0.513,-0.2,4.08,38.44
Belgium,455,0.013,0.002,0,0.0203,0.076,-0.026,1.06,1.6,1.07,11.26
Iran,425,0.006,,0.2,0.091,0.122,-0.0258,0.1636,0.41,32365,78.8
Thailand,395,0.032,0.006,0.015,0.0113,0.0099,-0.025,0.444,3.7,35.28,67.96
Norway,387,-0.009,-0.005,0.005,0.035,0.048,0.057,0.317,9,8.46,5.21
Austria,377,0.012,0.004,0,0.014,0.103,-0.012,0.862,2.6,1.07,8.58
United Arab Emirates,370,0.034,0.039,0.015,0.019,0.042,0.05,0.1568,5.8,3.67,9.16
Egypt,331,0.023,0.049,0.1475,0.233,0.126,-0.115,0.85,-3.4,18.75,83.4
South Africa,315,0.007,0.002,0.07,0.068,0.271,-0.042,0.501,-4.4,13.52,54.96
Hong Kong,309,0.019,0.006,0.01,0.012,0.033,0.013,0.32,3.1,7.76,7.3
Israel,299,0.038,0.009,0.001,-0.002,0.046,-0.0215,0.648,4.14,3.81,8.46
Malaysia,296,0.043,0.015,0.03,0.018,0.034,-0.032,0.54,3,4.45,31.7
Denmark,295,0.012,0.004,-0.0065,0.005,0.042,-0.021,0.402,7.1,6.95,5.71
Singapore,293,0.018,0.091,0.0046,0,0.021,-0.012,1.047,19.7,1.42,5.54
Colombia,292,0.012,0.003,0.075,0.0575,0.075,-0.024,0.38,-6.5,2916.6,48.75
Philippines,292,0.071,0.012,0.03,0.026,0.047,-0.009,0.4505,2.9,49.8,102.2
Ireland,284,0.069,0.04,0,-0.001,0.072,-0.023,0.938,4.9,1.07,4.63
Pakistan,271,0.0424,0.0424,0.0575,0.037,0.059,-0.053,0.648,-1.2,104.81,189.87
Chile,240,0.016,0.006,0.035,0.027,0.062,-0.022,0.175,-2.1,656.39,18.01
Finland,232,0.016,0.004,0,0.01,0.081,-0.027,0.631,0,1.07,5.49
Portugal,199,0.016,0.008,0,0.009,0.105,-0.044,1.29,0.7,1.07,10.37
Greece,195,0.018,0.008,0,0,0.23,-0.072,1.769,-1.8,1.07,10.86
